105818,HQ Wireline Parts,HQ > Washer,2,0.00,new
306216,HQ Wireline Parts,HQ > Latch Link,6,7.26,new
3540516,HQ Wireline Parts,HQ > Jar Staff,2,23.86,new
3540529,HQ Wireline Parts,HQ > Lifting Dog,3,28.81,new
3541056,HQ Wireline Parts,HQ > Upper Latch body,0,0.00,new
3540330,HQ Wireline Parts,HQ > Spear Head Base,0,52.94,new
3541829,HQ Wireline Parts,HQ > Locking Coupling,1,186.07,new
3541932,HQ Wireline Parts,"HQ > Nyloc Bolt 3/8"" x 3/4""",0,0.00,new
3542941,HQ Wireline Parts,HQ > HQ Head Assembly New,0,792.46,new
3542941,HQ Wireline Parts,HQ > HQ Head Assemby Used,6,0.00,used
3542947,HQ Wireline Parts,HQ > Core Barrel Assembly 10'New,0,0.00,new
3543619,HQ Wireline Parts,"HQ > Springs, latch cmpression",3,0.00,new
3545407,HQ Wireline Parts,HQ > Locking Coupling,0,159.04,new
3546750,HQ Wireline Parts,HQ > EZY Lock O.S Assembly,0,0.00,new
3548105,HQ Wireline Parts,"HQ > Washer, Nord Lock",0,0.00,new
25236,HQ Wireline Parts,"HQ > used Inner Tubes, 10' used",3,152.36,used
25243,HQ Wireline Parts,"HQ > used Outer Tubes, 10' used",4,242.60,used
25258,HQ Wireline Parts,HQ > used Inner Tube 5' Used,0,0.00,used
25259,HQ Wireline Parts,HQ > used Outer Tube 5' Used,0,0.00,used
3542941,HQ Wireline Parts,HQ > used HQ Head Assembly,6,792.46,used
3542947,HQ Wireline Parts,HQ > used Core Barrel Assembly 10'Used,4,0.00,used
00000,HQ Wireline Parts,HQ > Corebarrel Clamp bushing,2,75.00,new
4373304,Diamond Articles,NQ Bits > Fordia T-Rex 4-6,6,325.00,new
6435804,Diamond Articles,NQ Bits > Fordia T-Rex 6-9,2,325.00,new
4892903,Diamond Articles,NQ Bits > Fordia Shark 13,2,350.00,new
6086901,Diamond Articles,NQ Bits > Fordia Shark 2 Turbo,2,350.00,new
4213109,Diamond Articles,NQ Bits > Fordia Shark 2,0,350.00,new
4582705,Diamond Articles,NQ Bits > Fordia Shark 2 Face D,0,350.00,new
6762703,Diamond Articles,NQ Bits > Fordia P-200 Turbo,1,325.00,new
6845101,Diamond Articles,NQ Bits > Fordia P-260,3,325.00,new
