42905, 1234, HQ Wireline, HQ > Sprial Pin /16 x 1, 0, 0.00, new
42906, 1234, HQ Wireline, HQ > Plain Pin 1/2 x 15/16, 0, 4.21, new
42913, 1234, HQ Wireline, HQ > Spear Head, 0, 20.20, new
43513, 1234, HQ Wireline, HQ > Shut Off Valve Yellow (hard), 7, 0.00, new
44408, 1234, HQ Wireline, HQ > Stabilizing Ring, 0, 21.32, new
44574, 1234, HQ Wireline, HQ > Hex adjustment nut, 0, 0.00, new
62374, 1234, HQ Wireline, HQ > Stainless steel ball 22mm, 0, 0.00, new
62380, 1234, HQ Wireline, HQ > Landing Indicator Bushing, 0, 0.00, new
63515, 1234, HQ Wireline, HQ > Corebarrel Assembly 10 used, 6, 1364.28, used
63515, 1234, HQ Wireline, HQ > Corebarrel Assembly 10 new, 0, 1364.28, new
103465, 1234, HQ Wireline, HQ > Store Lock nut, 2, 0.00, new
104818, 1234, HQ Wireline, HQ > Latch HQ, 6, 16.97, new
104953, 1234, HQ Wireline, HQ > Washer, 6, 5.08, new
104957, 1234, HQ Wireline, HQ > Lower latch body, 0, 0.00, new
104958, 1234, HQ Wireline, HQ > Landing Ring, 1, 26.09, new
105818, 1234, HQ Wireline, HQ > Washer, 2, 0.00, new
306216, 1234, HQ Wireline, HQ > Latch Link, 6, 7.26, new
3540516, 1234, HQ Wireline, HQ > Jar Staff, 2, 23.86, new
3540529, 1234, HQ Wireline, HQ > Lifting Dog, 3, 28.81, new
3541056, 1234, HQ Wireline, HQ > Upper Latch body, 0, 0.00, new
3540330, 1234, HQ Wireline, HQ > Spear Head Base, 0, 52.94, new
3541829, 1234, HQ Wireline, HQ > Locking Coupling, 1, 186.07, new
3541932, 1234, HQ Wireline, HQ > Nyloc Bolt 3/8 x 3/4, 0, 0.00, new
3542941, 1234, HQ Wireline, HQ > HQ Head Assembly New, 0, 792.46, new
3542941, 1234, HQ Wireline, HQ > HQ Head Assemby Used, 6, 0.00, used
3542947, 1234, HQ Wireline, HQ > Core Barrel Assembly 10New, 0, 0.00, new
3543619, 1234, HQ Wireline, HQ > Springs latch cmpression, 3, 0.00, new
3545407, 1234, HQ Wireline, HQ > Locking Coupling, 0, 159.04, new
3546750, 1234, HQ Wireline, HQ > EZY Lock O.S Assembly, 0, 0.00, new
3548105, 1234, HQ Wireline, HQ > Washer Nord Lock, 0, 0.00, new
25236, 1234, HQ Wireline, HQ > used Inner Tubes 10ft used, 3, 152.36, used
25243, 1234, HQ Wireline, HQ > used Outer Tubes 10ft used, 4, 242.60, used
25258, 1234, HQ Wireline, HQ > used Inner Tube 5 Used, 0, 0.00, used
25259, 1234, HQ Wireline, HQ > used Outer Tube 5 Used, 0, 0.00, used
3542941, 1234, HQ Wireline, HQ > used HQ Head Assembly, 6, 792.46, used
3542947, 1234, HQ Wireline, HQ > used Core Barrel Assembly 10Used, 4, 0.00, used
00000, 1234, HQ Wireline, HQ > Corebarrel Clamp bushing, 2, 75.00, new
4373304, 1234, Diamond Articles, NQ Bits > Fordia T-Rex 4-6, 6, 325.00, new
6435804, 1234, Diamond Articles, NQ Bits > Fordia T-Rex 6-9, 2, 325.00, new
4892903, 1234, Diamond Articles, NQ Bits > Fordia Shark 13, 2, 350.00, new
6086901, 1234, Diamond Articles, NQ Bits > Fordia Shark 2 Turbo, 2, 350.00, new
4213109, 1234, Diamond Articles, NQ Bits > Fordia Shark 2, 0, 350.00, new
4582705, 1234, Diamond Articles, NQ Bits > Fordia Shark 2 Face D, 0, 350.00, new
6762703, 1234, Diamond Articles, NQ Bits > Fordia P-200 Turbo, 1, 325.00, new
6845101, 1234, Diamond Articles, NQ Bits > Fordia P-260, 3, 325.00, new
3422310, 1234, Diamond Articles, NQ Bits > Fordia P-260 Turbo, 2, 350.00, new
4389806, 1234, Diamond Articles, NQ Bits > Fordia Blitz 23, 2, 325.00, new
762716, 1234, Diamond Articles, NQ Bits > Dimatec 07, 1, 345.00, new
1442702, 1234, Diamond Articles, NQ Bits > Longyear Alpha 09, 11, 425.00, new
1337735, 1234, Diamond Articles, NQ Bits > Longyear Alpha 08, 0, 425.00, new
819896, 1234, Diamond Articles, NQ Bits > Longyear Alpha 07, 0, 425.00, new
813272, 1234, Diamond Articles, NQ Bits > Longyear Alpha 06, 6, 425.00, new
00000, 1234, Diamond Articles, NQ Bits > Hayden  4, 3, 312.50, new
074484, 1234, Diamond Articles, NQ Bit > Hayden 2, 4, 312.50, new
00000, 1234, Diamond Articles, NQ Bit > Fordia T-Rex 9-11, 0, 345.00, new
00000, 1234, Diamond Articles, NQ Bit > Fordia Turbo #9901, 3, 345.00, new
00000, 1234, Diamond Articles, NQ Bit > Fordia Hero 3, 2, 345.00, new
7448404, 1234, Diamond Articles, NQ Reamshell > Fordia - Rhino, 2, 295.00, new
00000, 1234, Diamond Articles, NQ Bit > Fordia-Hero 7, 1, 345.00, new
00000, 1234, Diamond Articles, NQ Cas.shoe > Fordia Gator Green, 6, 85.00, new
